contamination_pct,target_pct,seed,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,fpr_w10,fpr_0208
8.0,8,18,0.19261969104409232,0.6725627020515408,0.7896938208672353,0.6868686868686869,0.0319031903190319,0.6732673267326733,0.01729559748427673,0.06593406593406594
8.0,8,19,0.192967884987593,0.6763392930151623,0.787667875698461,0.6938775510204082,0.0297029702970297,0.6732673267326733,0.015723270440251572,0.06227106227106227
12.0,12,0,0.4494993314146998,0.6532723605711429,0.8347329782483198,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
12.0,12,1,0.3777311936020853,0.6390415837601464,0.8315306778202574,0.5581395348837209,0.0594059405940594,0.594059405940594,0.050314465408805034,0.08058608058608059
12.0,12,2,0.18569375723600412,0.6731912882522529,0.8088531625439772,0.6903553299492385,0.030803080308030802,0.6732673267326733,0.0220125786163522,0.05128205128205128
12.0,12,3,0.2012674093246462,0.6508890436483273,0.8164123343027372,0.6834170854271356,0.033003300330033,0.6732673267326733,0.020440251572327043,0.06227106227106227
12.0,12,4,0.6509950101375581,0.7053924911479487,0.8368460608437083,0.6226415094339622,0.04950495049504951,0.6534653465346535,0.040880503144654086,0.0695970695970696
12.0,12,5,0.4606231108307839,0.6716565687961992,0.835190449738043,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
12.0,12,6,0.20355000123381614,0.662556884297876,0.7888551231360761,0.6288659793814433,0.0352035203520352,0.6039603960396039,0.02358490566037736,0.06227106227106227
12.0,12,7,0.654415744543076,0.7018379055703969,0.8243418401246065,0.631578947368421,0.0462046204620462,0.6534653465346535,0.03930817610062893,0.06227106227106227
12.0,12,8,0.2822800904512406,0.7239060829081666,0.8737378688363886,0.6071428571428571,0.06050605060506051,0.6732673267326733,0.05188679245283019,0.08058608058608059
12.0,12,9,0.2175733074545862,0.5967637838054616,0.7590105545207986,0.5494505494505495,0.034103410341034104,0.49504950495049505,0.0220125786163522,0.06227106227106227
12.0,12,10,0.4782569304108621,0.6680783070582037,0.8291017220533934,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
12.0,12,11,0.6712828367948538,0.7013832112739871,0.8253003518173601,0.6376811594202898,0.04400440044004401,0.6534653465346535,0.036163522012578615,0.06227106227106227
12.0,12,12,0.5981560230255127,0.7057551178914968,0.8362687753923908,0.5972850678733032,0.0594059405940594,0.6534653465346535,0.04874213836477988,0.08424908424908426
12.0,12,13,0.5085701882839206,0.6081758378426858,0.8031892298140706,0.5615763546798029,0.04950495049504951,0.5643564356435643,0.04245283018867924,0.06593406593406594
12.0,12,14,0.6051533162593843,0.7049727983052078,0.8332298576392294,0.6055045871559633,0.056105610561056105,0.6534653465346535,0.04874213836477988,0.07326007326007326
12.0,12,15,0.43680480569601077,0.6312660669744744,0.8150508120118942,0.5607476635514018,0.058305830583058306,0.594059405940594,0.050314465408805034,0.07692307692307693
12.0,12,16,0.20495706424117094,0.667063604319318,0.7797056933416114,0.6633165829145728,0.0352035203520352,0.6534653465346535,0.026729559748427674,0.054945054945054944
12.0,12,17,0.6863322615623476,0.7024794858301405,0.8267599037131437,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
12.0,12,18,0.1800090864300731,0.6332337792878103,0.7590323388774521,0.6349206349206349,0.030803080308030802,0.594059405940594,0.015723270440251572,0.06593406593406594
12.0,12,19,0.5105845034122468,0.4212718794725927,0.667548933111133,0.36666666666666664,0.050605060506050605,0.32673267326732675,0.04245283018867924,0.0695970695970696
14.38,15,0,0.4796656757593156,0.5212491503416786,0.7652735570586762,0.4607329842931937,0.050605060506050605,0.43564356435643564,0.04245283018867924,0.0695970695970696
14.38,15,1,0.49738783538341536,0.5848420447552479,0.800575107015652,0.5588235294117647,0.050605060506050605,0.5643564356435643,0.04245283018867924,0.0695970695970696
14.38,15,2,0.22727895155549072,0.6915219527259949,0.7681599843152633,0.6875,0.027502750275027504,0.6534653465346535,0.020440251572327043,0.04395604395604396
14.38,15,3,0.5407334268093111,0.6892191350787297,0.8129268372381793,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
14.38,15,4,0.6463691622018816,0.7036635300927168,0.8310187454389003,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
14.38,15,5,0.29917785823345194,0.6465756665521787,0.7727238070341689,0.6502463054187192,0.039603960396039604,0.6534653465346535,0.031446540880503145,0.05860805860805861
14.38,15,6,0.29902898967266106,0.4876049045714042,0.7241446916968924,0.4772727272727273,0.036303630363036306,0.4158415841584158,0.026729559748427674,0.05860805860805861
14.38,15,7,0.6526992827653891,0.7039034761019952,0.8286878192769771,0.631578947368421,0.0462046204620462,0.6534653465346535,0.03930817610062893,0.06227106227106227
14.38,15,8,0.42446888685226447,0.5703616378743542,0.8116088836606433,0.5192307692307693,0.058305830583058306,0.5346534653465347,0.050314465408805034,0.07692307692307693
14.38,15,9,0.5345124185085298,0.5257658460056623,0.7862954612292912,0.4444444444444444,0.050605060506050605,0.4158415841584158,0.04245283018867924,0.0695970695970696
14.38,15,10,0.4937523469328881,0.6031525983346538,0.815355793005043,0.6226415094339622,0.04950495049504951,0.6534653465346535,0.040880503144654086,0.0695970695970696
14.38,15,11,0.6695606648921973,0.7027215128083173,0.8276639545142633,0.6376811594202898,0.04400440044004401,0.6534653465346535,0.036163522012578615,0.06227106227106227
14.38,15,12,0.4883985862135888,0.5897520361698902,0.8152141946867955,0.5373134328358209,0.050605060506050605,0.5346534653465347,0.04245283018867924,0.0695970695970696
14.38,15,13,0.5116028845310214,0.5095345708356815,0.7730832489189513,0.45263157894736844,0.050605060506050605,0.42574257425742573,0.04245283018867924,0.0695970695970696
14.38,15,14,0.5793463349342348,0.706840599266045,0.8368569530220349,0.6,0.058305830583058306,0.6534653465346535,0.04874213836477988,0.08058608058608059
14.38,15,15,0.4157829806208612,0.5595328550406269,0.7832129747628227,0.5402843601895735,0.058305830583058306,0.5643564356435643,0.050314465408805034,0.07692307692307693
14.38,15,16,0.19320074841380144,0.6811420824080764,0.7764162554869348,0.6875,0.027502750275027504,0.6534653465346535,0.015723270440251572,0.054945054945054944
14.38,15,17,0.6999047696590424,0.7028824017560793,0.8283283773921947,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
14.38,15,18,0.5112828612327577,0.42336897566651976,0.6632683070287226,0.36666666666666664,0.050605060506050605,0.32673267326732675,0.04245283018867924,0.0695970695970696
14.38,15,19,0.4798413649201394,0.4158414334324227,0.6485420819309653,0.36666666666666664,0.050605060506050605,0.32673267326732675,0.04245283018867924,0.0695970695970696
19.27,20,0,0.6873122394084933,0.7092160016528046,0.8457449705366576,0.6285714285714286,0.047304730473047306,0.6534653465346535,0.03930817610062893,0.06593406593406594
19.27,20,1,0.4441991940140726,0.6333362891388781,0.813918025465913,0.5607476635514018,0.058305830583058306,0.594059405940594,0.050314465408805034,0.07692307692307693
19.27,20,2,0.5891390264034272,0.7080481714376934,0.8466490213377773,0.6,0.058305830583058306,0.6534653465346535,0.04874213836477988,0.08058608058608059
19.27,20,3,0.6863084882497787,0.7087629921452964,0.8464093934145891,0.6285714285714286,0.047304730473047306,0.6534653465346535,0.03773584905660377,0.0695970695970696
19.27,20,4,0.6411766290664674,0.7041357735474063,0.8328050626844863,0.6226415094339622,0.04950495049504951,0.6534653465346535,0.04245283018867924,0.06593406593406594
19.27,20,5,0.4820278719067575,0.615523881176631,0.8267272271781634,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
19.27,20,6,0.5257952272891999,0.5177438590847458,0.7636941912012983,0.4607329842931937,0.050605060506050605,0.43564356435643564,0.04245283018867924,0.0695970695970696
19.27,20,7,0.6457142025232319,0.7033338429366044,0.8298206058229585,0.6226415094339622,0.04950495049504951,0.6534653465346535,0.04245283018867924,0.06593406593406594
19.27,20,8,0.4345941826701165,0.7187389696800676,0.8680848282848086,0.6027397260273972,0.05720572057205721,0.6534653465346535,0.04874213836477988,0.07692307692307693
