epoch_millis,thread_label,page
1783513873150,bot-browsing-53,PRODUCT_DETAIL
1783513873241,bot-browsing-56,HOME
1783513873964,bot-searching-63,PRODUCTS
1783513874441,bot-browsing-50,PRODUCT_DETAIL
1783513874741,bot-browsing-58,PRODUCTS
1783513876843,bot-browsing-61,PRODUCT_DETAIL
1783513881513,bot-searching-66,PRODUCT_DETAIL
1783513881899,bot-searching-66,HOME
1783513883192,bot-browsing-58,HOME
1783513885155,bot-browsing-67,HOME
1783513887667,bot-browsing-44,PRODUCTS
1783513889101,bot-browsing-68,HOME
1783513891254,bot-searching-66,PRODUCTS
1783513891400,bot-searching-66,PRODUCT_DETAIL
1783513891518,bot-searching-66,PRODUCTS
1783513891603,bot-searching-66,PRODUCT_DETAIL
1783513891617,bot-browsing-69,HOME
1783513894520,bot-browsing-61,HOME
1783513894884,bot-browsing-57,PRODUCTS
1783513895273,bot-form_filling-70,PRODUCTS
1783513895443,bot-browsing-67,ABOUT
1783513895548,bot-form_filling-70,HOME
1783513895750,bot-form_filling-70,CONTACT
1783513899231,bot-browsing-71,HOME
1783513899338,bot-form_filling-70,SUBMIT_CONTACT
1783513901999,bot-browsing-60,PRODUCTS
1783513904198,bot-browsing-62,PRODUCT_DETAIL
1783513904469,bot-browsing-50,PRODUCTS
1783513904554,bot-searching-64,PRODUCT_DETAIL
1783513907764,bot-browsing-67,HOME
1783513908156,bot-browsing-68,CONTACT
1783513909030,bot-searching-64,HOME
1783513909097,bot-searching-64,PRODUCTS
1783513910296,bot-browsing-57,PRODUCT_DETAIL
1783513912285,bot-searching-64,PRODUCT_DETAIL
1783513913654,bot-browsing-58,CONTACT
1783513914315,bot-browsing-67,PRODUCTS
1783513914334,bot-browsing-68,HOME
1783513915290,bot-browsing-53,HOME
1783513916185,bot-browsing-50,CONTACT
1783513917105,bot-browsing-59,HOME
1783513920931,bot-browsing-68,ABOUT
1783513921487,bot-browsing-72,HOME
1783513922083,bot-browsing-69,ABOUT
1783513922089,bot-browsing-62,PRODUCTS
1783513926271,bot-browsing-57,PRODUCTS
1783513926504,bot-browsing-71,PRODUCTS
1783513930501,bot-browsing-61,ABOUT
1783513930711,bot-browsing-69,PRODUCTS
1783513931269,bot-browsing-60,PRODUCT_DETAIL
1783513931910,bot-browsing-72,CONTACT
1783513932182,bot-browsing-62,PRODUCT_DETAIL
1783513936881,bot-browsing-69,PRODUCT_DETAIL
1783513938431,bot-browsing-71,PRODUCT_DETAIL
1783513940495,bot-browsing-61,HOME
1783513941836,bot-browsing-59,PRODUCTS
1783513944588,bot-browsing-67,PRODUCT_DETAIL
1783513946909,bot-browsing-69,CONTACT
1783513947695,bot-browsing-60,HOME
1783513949505,bot-browsing-68,PRODUCTS
1783513950014,bot-searching-73,HOME
1783513950669,bot-browsing-62,PRODUCTS
1783513955895,bot-browsing-68,HOME
1783513956261,bot-browsing-61,PRODUCTS
1783513958059,bot-browsing-62,PRODUCT_DETAIL
1783513960108,bot-searching-73,PRODUCTS
1783513960427,bot-searching-73,HOME
1783513963102,bot-browsing-74,HOME
1783513964793,bot-browsing-59,HOME
1783513967189,bot-browsing-75,HOME
1783513968202,bot-browsing-61,PRODUCT_DETAIL
1783513969847,bot-browsing-50,HOME
1783513977288,bot-browsing-76,HOME
1783513979467,bot-searching-77,HOME
1783513983783,bot-browsing-78,HOME
1783513993929,bot-browsing-78,PRODUCTS
1783513996088,bot-searching-77,PRODUCTS
1783513998281,bot-searching-77,PRODUCT_DETAIL
1783513998471,bot-searching-77,PRODUCTS
1783513998968,bot-searching-77,PRODUCT_DETAIL
1783514002108,bot-browsing-76,PRODUCTS
1783514004674,bot-browsing-78,PRODUCT_DETAIL
1783514006436,bot-browsing-79,HOME
1783514012371,bot-searching-77,PRODUCTS
1783514012528,bot-searching-77,PRODUCT_DETAIL
1783514016045,bot-browsing-79,ABOUT
1783514018889,bot-searching-77,HOME
1783514019156,bot-searching-77,PRODUCTS
1783514021492,bot-searching-77,PRODUCT_DETAIL
1783514022412,bot-browsing-80,HOME
1783514360686,bot-browsing-76,HOME
1783514360687,bot-browsing-78,PRODUCTS
1783514366624,bot-browsing-79,HOME
1783514366892,bot-browsing-78,PRODUCT_DETAIL
1783514368463,bot-browsing-76,CONTACT
1783514378439,bot-browsing-80,PRODUCTS
1783514382486,bot-browsing-79,CONTACT
